Journal name,JCR Abbreviation,ISSN,eISSN,Category,2021 JIF
Annual Review of Pharmacology and Toxicology,ANNU REV PHARMACOL,0362-1642,1545-4304,TOXICOLOGY - SCIE,16.459
Journal of the American Chemical Society,J AM CHEM SOC,0002-7863,1520-5126,"CHEMISTRY, MULTIDISCIPLINARY - SCIE",16.383
MOLECULAR ASPECTS OF MEDICINE,MOL ASPECTS MED,0098-2997,1872-9452,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,16.337
Nature Chemical Biology,NAT CHEM BIOL,1552-4450,1552-4469,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,16.284
Annual Review of Microbiology,ANNU REV MICROBIOL,0066-4227,1545-3251,MICROBIOLOGY - SCIE,16.232
EMERGING INFECTIOUS DISEASES,EMERG INFECT DIS,1080-6040,1080-6059,IMMUNOLOGY - SCIE; INFECTIOUS DISEASES - SCIE,16.126
Lancet HIV,LANCET HIV,2352-3018,2352-3018,IMMUNOLOGY - SCIE; INFECTIOUS DISEASES - SCIE,16.07
ACTA NEUROPATHOLOGICA,ACTA NEUROPATHOL,0001-6322,1432-0533,PATHOLOGY - SCIE,15.887
Biomaterials Research,BIOMATER RES,1226-4601,2055-7124,"MATERIALS SCIENCE, BIOMATERIALS - SCIE",15.863
Materials Horizons,MATER HORIZ,2051-6347,2051-6355,"CHEMISTRY, MULTIDISCIPLINARY - SCIE",15.717
International Journal of Antimicrobial Agents,INT J ANTIMICROB AG,0924-8579,1872-7913,INFECTIOUS DISEASES - SCIE; MICROBIOLOGY - SCIE,15.441
Protein & Cell,PROTEIN CELL,1674-800X,1674-8018,CELL BIOLOGY - SCIE,15.328
BIOMATERIALS,BIOMATERIALS,0142-9612,1878-5905,"MATERIALS SCIENCE, BIOMATERIALS - SCIE",15.304
TRENDS IN MOLECULAR MEDICINE,TRENDS MOL MED,1471-4914,1471-499X,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE; CELL BIOLOGY - SCIE,15.272
